S.No,City,Country,Continent,Capital City?,Language,Landform,Major Religion,Population (Urban) in Mil,GDP pc (in thousand USD),Average Highs in Peak Summer,Average Lows in Peak Winter,Average Yearly Rainfall (in m),Sunshine (annual hours),Unemployment Rate,Cost of Living (in thousand USD),HDI,Life Expectancy,PM2.5,CPI,Crime Index,Metro Length (km),Final Score
28,Athens,Greece,Europe,Yes,Greek,Coastal Mountains,Christian,3.06,25.614,34.3,7.1,0.43,2773,9.36,2.59,0.918,81.9,16.7,49,55.3,91.7,128.42
29,Zurich,Switzerland,Europe,No,German,Plateau,Christian,1.43,74.193,25.2,-2.6,1.01,1657,2.25,6.50,0.994,84,8.7,82,23.3,0,123.43
30,London,UK,Europe,Yes,English,Plains,Christian/Irreligious,9.78,65.642,23.9,2.7,0.62,1675,4.7,6.48,0.984,81.3,8.4,71,55.1,440,120.83
31,Paris,France,Europe,Yes,French,Plains,Catholic/Irreligious,10.89,72.722,25.7,3.2,0.63,1717,7.36,4.28,0.956,83.3,10.3,71,58,245.6,118.12
32,Osaka,Japan,Asia,No,Japanese,Coastal Valley,Irreligious,2.75,39.518,33.7,3,1.34,2049,2.5,2.16,0.922,84.7,10.9,73,33.1,141,112.33
33,Tokyo,Japan,Asia,Yes,Japanese,Coastal Plains,Irreligious,14.18,72.389,31.3,1.2,1.60,1927,2.5,2.94,0.946,84.7,9.7,73,24.7,340.7,105.79
34,Vienna,Austria,Europe,Yes,German,Plains,Catholic,2.22,57.1,26.4,-1.3,0.67,2042,10,3.40,0.948,82,9.1,71,30.3,83.3,102.91
35,Cologne,Germany,Europe,No,German,Plains,Christian/Irreligious,3.5,63.456,24.9,0,0.80,1589,6.9,3.45,0.950,81.4,8.7,78,43.4,0,96.45
36,NYC,USA,North America,No,English,Coastal Plains,Christian,8.8,146.066,29.4,-2.3,1.26,2535,4.4,8.74,0.937,79.3,11.6,69,50.7,443.7,89.29
37,Berlin,Germany,Europe,Yes,German,Plains,Irreligious,4.68,57.224,25,-2.2,0.53,1759,8.7,3.68,0.967,81.4,10.5,78,44.6,155.6,83.85
38,Lyon,France,Europe,No,French,Plateau,Catholic/Irreligious,1.7,58.498,28.2,1.1,0.82,2050,7.36,3.20,0.923,83.3,10.2,71,56.9,34.4,78.65
39,Vancouver,Canada,North America,No,English,Coastal Valley,Irreligious/Christian,2.64,52.989,22.4,1.2,1.16,1938,5.1,4.55,0.946,82.6,5.6,76,43,79.6,71.91
40,Manchester,UK,Europe,No,English,Plains,Christian/Irreligious,2.91,61.277,20.6,1.6,0.83,1416,5.1,4.10,0.940,81.3,9,71,55.8,0,66.70
41,Glasgow,UK,Europe,No,English,Plains,Irreligious/Christian,1.03,47.281,19.8,2.1,1.26,1280,4,3.79,0.940,81.3,5.4,71,45.6,10.4,34.47
42,Brussels,Belgium,Europe,No,French,Plateau,Catholic/Irreligious,1.25,83.088,23.2,1.4,0.84,1604,13.2,3.50,0.953,82.1,9.8,73,54.5,39.9,31.97
43,Toronto,Canada,North America,No,English,Plains,Catholic/Irreligious,6.2,50.28,27,-6.7,0.82,2066,5.3,4.33,0.942,82.6,10.8,76,43.4,70.5,27.70
44,Milan,Italy,Europe,No,Italian,Plains,Catholic,3.15,48.873,30.7,-0.4,0.75,1975,5.8,4.07,0.927,83.7,19,56,51.8,111.8,22.53
45,Hyderabad,India,Asia,No,Telugu,Plateau,Hindu,7.67,10.958,38.8,13.1,0.86,2698,8.3,1.22,0.740,72,39.9,39,43.1,69,5.87
46,Buenos Aires,Argentina,South America,Yes,Spanish,Coastal Plains,Catholic/Irreligious,13.97,14.419,30.1,7.5,1.26,2384,6.9,2.28,0.882,77.4,9.6,37,63.3,56.7,-3.50
47,Bengaluru,India,Asia,No,Kannada,Plateau,Hindu,10.45,11.297,34.1,16.1,1.08,2361,10.65,1.22,0.752,72,28.6,39,54.2,77,-7.57
48,Seoul,South Korea,Asia,Yes,Korean,Valley,Irreligious,9.66,45.344,30,-5.5,1.42,2143,3,2.77,0.961,84.3,19.7,63,24.2,1390.3,-24.53
49,Mumbai,India,Asia,No,Marathi,Coast,Hindu,12.44,7.361,34,19.4,2.21,2612,4.3,1.68,0.841,72,43.8,39,44.3,59.1,-127.75
50,Delhi,India,Asia,Yes,Hindi,Plains,Hindu,16.35,7.743,39.9,7.5,0.77,2774,9.6,1.11,0.734,72,102.1,39,59.1,353,-391.07
